NOME,PAÍS,CIDADE,ESTADO,RUA,Nº,LATITUDE,LONGITUDE,DISTÂNCIA,CATEGORIAS,ID
Champ de Mars,France,Paris,Ile-de-France,,,48.856045330890794,2.297924142656768,0,"['dogs', 'dogs.yes', 'internet_access', 'internet_access.free', 'leisure', 'leisure.park', 'tourism', 'tourism.attraction', 'wheelchair', 'wheelchair.yes']",517f328b0d2662024059e408b6e4926d4840f00102f901d33740000000000092030d4368616d70206465204d617273
,France,Paris,Ile-de-France,,,48.856740670348714,2.2976103026550523,74,"['building', 'building.historic', 'tourism', 'tourism.sights']",5151d9a68281610240598226a4ada96d4840f00102f90116621d0400000000
,France,Paris,Ile-de-France,,,48.855770908495344,2.2968952157707867,74,"['building', 'building.historic', 'tourism', 'tourism.sights']",515b9850990a60024059886db0e6896d4840f00102f9011d51580600000000
,France,Paris,Ile-de-France,,,48.85540091599531,2.297473967408676,79,"['building', 'building.historic', 'tourism', 'tourism.sights']",51fc730b083a610240598b95f7c67d6d4840f00102f9019399560600000000
,France,Paris,Ile-de-France,,,48.855416453285095,2.2981884196019844,79,"['building', 'building.historic', 'tourism', 'tourism.sights']",513fe4319cb062024059efa84d497e6d4840f00102f901a299560600000000
,France,Paris,Ile-de-France,,,48.85535917427375,2.2978921360046307,80,"['building', 'building.historic', 'tourism', 'tourism.sights']",51f800af4515620240596febcf687c6d4840f00102f9019f99560600000000
,France,Paris,Ile-de-France,,,48.855358070420735,2.297586289925712,82,"['building', 'building.historic', 'tourism', 'tourism.sights']",5152c0b7eb7461024059d2698d5f7c6d4840f00102f9019799560600000000
,France,Paris,Ile-de-France,Avenue Joseph Bouvard,,48.85675173366458,2.2983431172061706,83,"['tourism', 'tourism.attraction', 'tourism.attraction.artwork']",51fb185bb70163024059ba70720aaa6d4840f00102f901fd611d0400000000
,France,Paris,Ile-de-France,,,48.856796489156615,2.2982257957556818,85,"['building', 'building.historic', 'tourism', 'tourism.sights']",51fbc0bc34c462024059ad20e281ab6d4840f00102f90128621d0400000000
,France,Paris,Ile-de-France,,,48.85697890374459,2.2976965700276666,100,"['building', 'building.historic', 'tourism', 'tourism.sights']",519d3343bdae61024059f478167cb16d4840f00102f90126621d0400000000
,France,Paris,Ile-de-France,,,48.855231980515754,2.298351061490503,102,"['building', 'building.historic', 'tourism', 'tourism.sights']",51f7a09ee105630240597c67d53d786d4840f00102f901a699560600000000
,France,Paris,Ile-de-France,,,48.85517637124682,2.298108736284017,103,"['building', 'building.historic', 'tourism', 'tourism.sights']",5116ef47d586620240599568596b766d4840f00102f901ac99560600000000
,France,Paris,Ile-de-France,,,48.85514934972824,2.2978587499999974,103,"['building', 'building.historic', 'tourism', 'tourism.sights']",51939eb0c40362024059a423ad88756d4840f00102f901b099560600000000
,France,Paris,Ile-de-France,,,48.85701500519143,2.2979377731765465,104,"['building', 'building.historic', 'tourism', 'tourism.sights']",51694a00332d620240593ebdedaab26d4840f00102f9010d621d0400000000
,France,Paris,Ile-de-France,Allée Thomy Thierry,,48.8555681242059,2.2965955967886362,104,"['building', 'building.historic', 'tourism', 'tourism.sights']",5124c222836d5f024059727b9c41836d4840f00102f9011451580600000000
,France,Paris,Ile-de-France,,,48.85514899972825,2.2976043500000003,104,"['building', 'building.historic', 'tourism', 'tourism.sights']",51c02db3637e610240591d85bd85756d4840f00102f901b199560600000000
,France,Paris,Ile-de-France,,,48.85517694972823,2.2973521,105,"['building', 'building.historic', 'tourism', 'tourism.sights']",51e52c4723fa600240591ab03370766d4840f00102f901ad99560600000000
,France,Paris,Ile-de-France,,,48.85701269300437,2.2982109529615986,107,"['building', 'building.historic', 'tourism', 'tourism.sights']",51843b926cbc62024059f75a8897b26d4840f00102f901f4611d0400000000
,France,Paris,Ile-de-France,Allée Thomy Thierry,,48.855201676194454,2.297178230228941,107,"['building', 'building.historic', 'tourism', 'tourism.sights']",51e954dffa9e60024059aa5e9f3f776d4840f00102f901ae99560600000000
,France,Paris,Ile-de-France,,,48.85698477899047,2.298448539587446,110,"['building', 'building.historic', 'tourism', 'tourism.sights']",514d89e8fc386302405989775fadb16d4840f00102f9011d621d0400000000
,France,Paris,Ile-de-France,Allée Adrienne Lecouvreur,,48.85695096627823,2.298637116941797,113,"['tourism', 'tourism.attraction', 'tourism.attraction.artwork']",510e1855db9b630240596538bb91b06d4840f00102f9010b621d0400000000
Lucien Guitry,France,Paris,Ile-de-France,Avenue Émile Pouvillon,,48.85756855493698,2.2987060791282095,178,"['tourism', 'tourism.sights', 'tourism.sights.memorial']",51c1c64703c06302405923c470cec46d4840f00102f9011a621d040000000092030d4c756369656e20477569747279
,France,Paris,Ile-de-France,Allée Maurice Baumont,,48.85783922828553,2.2966996434711895,210,"['building', 'building.historic', 'tourism', 'tourism.sights']",51888c0b10a45f0240592a5b03adcd6d4840f00102f9010c621d0400000000
History Group Store,France,Paris,Ile-de-France,Avenue de la Bourdonnais,,48.85796479972756,2.2993450999999996,238,"['tourism', 'tourism.attraction']",5127be350b0f650240597bf961cad16d4840f00103f90132d219a501000000920313486973746f72792047726f75702053746f7265
,France,Paris,Ile-de-France,Avenue de Suffren,,48.85472679972835,2.2950845999999996,250,"['tourism', 'tourism.sights', 'tourism.sights.memorial', 'wheelchair', 'wheelchair.yes']",51096d9450555c0240598bec11b0676d4840f00103f9012ea5be5c01000000
,France,Paris,Ile-de-France,Avenue Charles-Risler,,48.855225540958116,2.30111668459723,252,"['tourism', 'tourism.sights', 'tourism.sights.memorial', 'tourism.sights.memorial.monument']",511a0045ddaf680240593c8fd007786d4840f00102f9010c1f051600000000
Monument des Droits de l'Homme,France,Paris,Ile-de-France,Avenue Charles-Risler,,48.85523579972823,2.3011048,260,"['tourism', 'tourism.sights', 'tourism.sights.memorial', 'tourism.sights.memorial.monument']",51565925a2a968024059bf19df5d786d4840f00103f901796dfa150100000092031e4d6f6e756d656e74206465732044726f697473206465206c27486f6d6d65
Tour Eiffel,France,Paris,Ile-de-France,Avenue Anatole France,5,48.858262036704375,2.2944961494301483,283,"['building', 'building.historic', 'building.tourism', 'fee', 'heritage', 'man_made', 'man_made.tower', 'tourism', 'tourism.attraction', 'tourism.sights', 'tourism.sights.memorial', 'tourism.sights.memorial.monument', 'tourism.sights.tower', 'wheelchair', 'wheelchair.yes']",51a7cd14cc205b0240599685c987db6d4840f00102f901747f4c000000000092030b546f75722045696666656c
Tour Eiffel,France,Paris,Ile-de-France,Avenue Anatole France,5,48.85797839972755,2.2944957,322,"['tourism', 'tourism.attraction', 'wheelchair', 'wheelchair.limited']",514380c28f205b0240598bc0773cd26d4840f00103f901dd01be8e0100000092030b546f75722045696666656c
Tour Eiffel 2e étage,France,Paris,Ile-de-France,Avenue Gustave Eiffel,,48.85825801393874,2.294496601337358,323,"['tourism', 'tourism.attraction', 'tourism.attraction.viewpoint']",518237bc08215b024059cab20a66db6d4840f00101f9019ac93e0000000000920315546f75722045696666656c20326520c3a974616765
Pavillon Ferrié,France,Paris,Ile-de-France,Avenue Gustave Eiffel,,48.85810224972752,2.2942530500000005,331,"['tourism', 'tourism.attraction']",516dfcd357a15a024059149a654bd66d4840f00102f9016bec5d1200000000920310506176696c6c6f6e204665727269c3a9
Pavillon Eiffel,France,Paris,Ile-de-France,Avenue Gustave Eiffel,,48.858422199727435,2.294729500000001,331,"['tourism', 'tourism.attraction']",51dd54dd239b5b024059affe54c7e06d4840f00102f9016aec5d120000000092030f506176696c6c6f6e2045696666656c
Tour Eiffel 3e étage,France,Paris,Ile-de-France,Avenue Gustave Eiffel,,48.858264332100255,2.29449489889333,335,"['tourism', 'tourism.attraction', 'tourism.attraction.viewpoint', 'wheelchair', 'wheelchair.limited']",5178af3c24205b024059d1d80a9bdb6d4840f00101f90199c93e0000000000920315546f75722045696666656c20336520c3a974616765
Bureau de Gustave Eiffel,France,Paris,Ile-de-France,Avenue Anatole France,5,48.85826849972747,2.2945811999999997,339,"['tourism', 'tourism.attraction', 'wheelchair', 'wheelchair.yes']",51a82160634d5b0240591cc200bedb6d4840f00103f9014766d1ba0000000092031842757265617520646520477573746176652045696666656c
Gustave Eiffel,France,Paris,Ile-de-France,Quai Jacques Chirac,,48.858730699727346,2.2944894,382,"['tourism', 'tourism.sights', 'tourism.sights.memorial']",51382630421d5b02405938b337e3ea6d4840f00103f9017b0efbcb0000000092030e477573746176652045696666656c
,France,Paris,Ile-de-France,Allée des Refuzniks,,48.85794617989348,2.293083030702769,402,"['man_made', 'tourism', 'tourism.attraction', 'tourism.sights']",51330c7fea3b58024059712f302ed16d4840f00102f901d405a01b00000000
Immeuble Lavirotte,France,Paris,Ile-de-France,Avenue Rapp,,48.859111299727275,2.3008801,406,"['tourism', 'tourism.attraction', 'tourism.attraction.artwork']",513f236cd33368024059f2f9eb5bf76d4840f00103f9015eb8d21f01000000920312496d6d6575626c65204c617669726f747465
,France,Paris,Ile-de-France,Rue de Monttessuy,,48.85961639972714,2.2995616999999995,414,"['tourism', 'tourism.attraction', 'tourism.attraction.viewpoint']",51c312c59a806502405977f701e9076e4840f00103f9012f4dc45202000000
,France,Paris,Ile-de-France,Rue de Buenos Aires,,48.857092799727766,2.2922158,425,"['tourism', 'tourism.attraction', 'tourism.attraction.viewpoint']",51eefec23c7556024059e23b8437b56d4840f00103f9016d6cc45202000000
Hôtel de Béhague,France,Paris,Ile-de-France,Avenue Bosquet,,48.85822038763714,2.303054177009838,426,"['building', 'building.historic', 'tourism', 'tourism.sights']",51396319aba76c024059bbd4682ada6d4840f00102f901b0f929040000000092031248c3b474656c2064652042c3a96861677565
,France,Paris,Ile-de-France,Rue de l'Université,,48.85982039972709,2.2964584,427,"['tourism', 'tourism.sights', 'tourism.sights.memorial', 'wheelchair', 'wheelchair.yes']",51f3fee494255f02405979a148980e6e4840f00103f9014ee225a401000000
Carrousel de la Tour Eiffel,France,Paris,Ile-de-France,Quai Jacques Chirac,,48.858920849635275,2.2926220642397075,489,"['tourism', 'tourism.attraction']",51fefa9f3c4a570240599d844f1ef16d4840f00102f901002c4c0e0000000092031b436172726f7573656c206465206c6120546f75722045696666656c
PA_1342,France,Paris,Ile-de-France,Allée Adrienne Lecouvreur,,48.853964999728554,2.3037848,498,"['tourism', 'tourism.attraction', 'tourism.attraction.artwork']",51da2ca8b9266e024059a3e1a0b94e6d4840f00103f901b656c99d02000000
Maréchal Joffre,France,Paris,Ile-de-France,Place Joffre,,48.85291109972881,2.3028378,511,"['tourism', 'tourism.sights', 'tourism.sights.memorial']",51d2f07739366c02405985dddf302c6d4840f00103f90102e29304020000009203104d6172c3a96368616c204a6f66667265
Cavalier Gaulois,France,Paris,Ile-de-France,Port de la Bourdonnais,,48.859436099727205,2.2930111000000006,513,"['tourism', 'tourism.attraction', 'tourism.attraction.artwork']",517feb1e34165802405942aa8a00026e4840f00103f901319e6e1101000000920310436176616c696572204761756c6f6973
Cavalier Romain,France,Paris,Ile-de-France,Promenade Marie de Roumanie,,48.85919779972725,2.2926477,513,"['tourism', 'tourism.attraction', 'tourism.attraction.artwork']",5138ff65ad5757024059d54f8931fa6d4840f00103f901329e6e110100000092030f436176616c69657220526f6d61696e
Mémorial national de la guerre d'Algérie et des combats du Maroc et de la Tunisie,France,Paris,Ile-de-France,Quai Jacques Chirac,,48.86058778725652,2.2949707050372443,534,"['tourism', 'tourism.sights', 'tourism.sights.memorial']",51e14ddb99195c02405948cd98bd276e4840f00102f90101ab8830000000009203534dc3a96d6f7269616c206e6174696f6e616c206465206c6120677565727265206427416c67c3a97269652065742064657320636f6d62617473206475204d61726f63206574206465206c612054756e69736965
Vedettes de Paris,France,Paris,Ile-de-France,Port de Suffren,,48.85834399972745,2.2912461,543,"['tourism', 'tourism.attraction']",514bb3d4d578540240590cc65737de6d4840f00103f9019986dd11000000009203115665646574746573206465205061726973
École Militaire,France,Paris,Ile-de-France,Avenue Émile Acollas,,48.8519213355566,2.304821253746338,551,"['access_limited', 'access_limited.private', 'tourism', 'tourism.attraction']",51dcba1f204670024059787d21c20b6d4840f00102f9014831560600000000920310c389636f6c65204d696c697461697265
,France,Paris,Ile-de-France,Place Joffre,,48.85265929972885,2.3032402,551,"['tourism', 'tourism.attraction', 'tourism.attraction.artwork', 'tourism.attraction.clock']",51f5a8ae32096d0240599b7b9ff0236d4840f00103f90178937f3c01000000
